Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
Asian Paints,"3,083.20",-0.54,35179,0.00,0.00,0.00,0.00
Axis Bank,755.25,1.17,200582,0.00,0.00,0.00,0.00
Bajaj Auto,"3,846.75",-0.15,18168,0.00,0.00,0.00,0.00
Bajaj Finance,"6,179.65",-0.30,43856,0.00,0.00,0.00,0.00
Bajaj Finserv,"13,200.00",1.03,21056,0.00,0.00,0.00,0.00
Bharti Airtel,548.55,0.38,1293006,0.00,0.00,0.00,0.00
Dr Reddys Labs,"5,420.50",0.70,12685,0.00,0.00,0.00,0.00
HCL Tech,994.25,1.60,373525,0.00,0.00,0.00,0.00
HDFC,"2,484.10",-0.25,43350,0.00,0.00,0.00,0.00
HDFC Bank,"1,442.85",-0.43,236030,0.00,0.00,0.00,0.00
HUL,"2,359.25",-0.82,66151,0.00,0.00,0.00,0.00
ICICI Bank,676.65,3.18,524077,0.00,0.00,0.00,0.00
IndusInd Bank,988.70,-0.38,199852,0.00,0.00,0.00,0.00
Infosys,"1,590.35",0.01,698796,0.00,0.00,0.00,0.00
ITC,212.35,2.56,4628168,0.00,0.00,0.00,0.00
Kotak Mahindra,"1,723.10",0.85,142869,0.00,0.00,0.00,0.00
Larsen,"1,612.00",-1.80,85921,0.00,0.00,0.00,0.00
M&M,764.25,0.81,54071,0.00,0.00,0.00,0.00
Maruti Suzuki,"7,290.20",-0.08,7724,0.00,0.00,0.00,0.00
Nestle,"18,070.00",0.42,3224,0.00,0.00,0.00,0.00
NTPC,118.50,-0.67,1416327,0.00,0.00,0.00,0.00
Power Grid Corp,233.50,0.15,116428,0.00,0.00,0.00,0.00
Reliance,"2,105.20",-0.74,253418,0.00,0.00,0.00,0.00
SBI,429.15,1.69,753824,0.00,0.00,0.00,0.00
Sun Pharma,694.00,0.99,108037,0.00,0.00,0.00,0.00
Tata Steel,"1,281.90",0.70,446952,0.00,0.00,0.00,0.00
TCS,"3,212.05",-0.14,103816,0.00,0.00,0.00,0.00
Tech Mahindra,"1,129.70",0.99,87052,0.00,0.00,0.00,0.00
Titan Company,"1,700.65",-0.09,49643,0.00,0.00,0.00,0.00
UltraTechCement,"7,494.00",0.46,31260,0.00,0.00,0.00,0.00
